Training Levels:,Resources/level/trainlevels/lvl-1,,
Gen Num , Highest Fitness, Average Fitness, Population Size: 120
698,70.454445,11.052167,0
699,70.454445,9.750478,0
700,70.454445,11.307707,0
701,70.454445,9.853787,0
702,70.454445,10.078496,0
703,70.454445,11.631849,0
704,70.454445,8.327284,0
705,70.454445,8.039946,0
706,70.454445,9.137675,0
707,70.454445,10.124105,0
708,70.454445,9.987,0
709,70.454445,11.756671,0
710,70.454445,11.69322,0
711,70.454445,10.583339,0
712,70.454445,11.850326,0
713,70.454445,10.487157,0
714,70.454445,12.038982,0
715,70.454445,11.265164,0
716,70.454445,12.666688,0
717,70.454445,15.776047,0
718,70.454445,12.344645,0
719,70.454445,12.324316,0
720,70.454445,9.567924,0
721,70.454445,13.061966,0
722,70.454445,12.912244,0
723,70.454445,15.641874,0
724,70.454445,11.025195,0
725,70.454445,9.071389,0
726,70.454445,15.037936,0
727,70.454445,12.706416,0
728,70.454445,11.674836,0
729,70.454445,11.944124,0
730,70.454445,16.078993,0
731,70.454445,17.059853,0
732,70.454445,15.745948,0
733,70.454445,18.804647,0
734,70.454445,12.21098,0
735,70.454445,12.285123,0
736,70.454445,13.409389,0
737,70.454445,11.425439,0
738,70.454445,11.666035,0
739,70.454445,9.452114,0
740,70.454445,11.459653,0
741,70.454445,11.016521,0
742,70.454445,13.481689,0
743,70.454445,15.739901,0
744,70.454445,16.316673,0
745,70.454445,12.504605,0
746,70.454445,12.413928,0
747,70.454445,17.982735,0
748,70.454445,14.437428,0
749,70.454445,14.024276,0
750,70.454445,13.794219,0
751,70.454445,15.908244,0
752,70.454445,12.857987,0
753,70.454445,14.809058,0
754,70.454445,15.084705,0
755,70.454445,10.667274,0
756,70.454445,14.736889,0
757,70.454445,15.539527,0
758,70.454445,15.29449,0
759,70.454445,13.735052,0
760,70.454445,15.197227,0
761,70.454445,14.151989,0
762,70.454445,19.868259,0
763,70.454445,16.685247,0
764,70.454445,15.08978,0
765,70.454445,13.877213,0
766,70.454445,13.342128,0
767,70.454445,10.825495,0
768,70.454445,13.565728,0
769,70.454445,14.941061,0
770,70.454445,16.813337,0
771,70.454445,13.83965,0
772,70.454445,13.232496,0
773,70.454445,14.316707,0
774,70.454445,14.049569,0
775,70.454445,16.569641,0
776,70.454445,13.103378,0
777,70.454445,12.820849,0
778,70.454445,12.052353,0
779,70.454445,11.546757,0
780,70.454445,15.475286,0
781,70.454445,15.953365,0
782,70.454445,14.357015,0
783,70.454445,11.962113,0
784,70.454445,13.057302,0
785,70.454445,9.91091,0
786,70.454445,12.822389,0
787,70.454445,12.542748,0
788,70.454445,15.560519,0
789,70.454445,12.359963,0
790,70.454445,13.055594,0
791,70.454445,14.192267,0
792,70.454445,11.901203,0
793,70.454445,12.56915,0
794,70.454445,12.643309,0
795,70.454445,10.954354,0
796,70.454445,11.743186,0
797,70.454445,11.177785,0
798,70.454445,11.516765,0
799,70.454445,10.260455,0
800,70.454445,12.557723,0
801,70.454445,7.136445,0
802,70.454445,15.913271,0
803,70.454445,11.918287,0
804,70.452133,10.337662,0
805,70.452133,11.902469,0
806,70.452133,13.9312,0
807,70.452133,13.127023,0
808,70.454445,13.544048,0
809,70.454445,12.139647,0
810,70.454445,11.527624,0
811,70.454445,12.301499,0
812,70.454445,11.471679,0
813,70.454445,12.311366,0
814,70.454445,13.000141,0
815,70.454445,12.69136,0
816,70.454445,13.03012,0
817,70.454445,13.862721,0
818,70.454445,12.561527,0
819,70.454445,13.068151,0
820,70.454445,18.247717,0
821,70.454445,12.099631,0
822,70.454445,14.308328,0
823,70.454445,16.821285,0
824,70.454445,16.532305,0
825,70.454445,14.979387,0
826,70.454445,14.822428,0
827,70.454445,13.60069,0
828,70.454445,16.923578,0
829,70.454445,11.170131,0
830,70.454445,11.538132,0
831,70.454445,14.634916,0
832,70.454445,13.731484,0
833,70.454445,11.382719,0
834,70.445419,12.01744,0
835,70.454445,14.352141,0
836,70.454445,13.941724,0
837,70.454445,13.44139,0
838,70.454445,10.499656,0
839,70.454445,13.096042,0
840,70.454445,13.728207,0
841,70.454445,12.007619,0
842,70.454445,12.567616,0
843,70.454445,15.575857,0
844,70.454445,10.781324,0
845,70.454445,13.062022,0
846,70.454445,13.268413,0
847,70.454445,12.283901,0
848,70.454445,11.5656,0
849,70.454445,11.33147,0
850,70.454445,13.44755,0
851,70.454445,13.032099,0
852,70.454445,9.50755,0
853,70.445953,10.956017,0
854,70.454025,10.448414,0
855,70.454025,12.545609,0
856,70.454025,13.628979,0
857,70.454445,13.252966,0
858,70.454445,11.726155,0
859,70.454445,14.673547,0
860,70.454445,13.01746,0
861,70.454445,12.441527,0
862,70.454445,10.62181,0
863,70.454445,10.825293,0
864,70.454445,12.453832,0
865,70.454445,11.70046,0
866,70.454445,14.674541,0
867,70.454445,13.284321,0
868,70.454445,14.531358,0
869,70.454445,14.469918,0
870,70.454445,17.240879,0
871,70.454445,15.779585,0
872,70.454445,11.900115,0
873,70.454445,10.312088,0
874,70.454445,11.372133,0
875,70.454445,13.752392,0
876,70.454445,14.827096,0
877,70.454445,15.701684,0
878,70.454445,11.687027,0
879,70.454445,13.904598,0
880,70.454445,10.823298,0
881,70.454445,15.669312,0
882,70.454445,13.940015,0
883,70.454445,14.495439,0
884,70.454445,17.481895,0
885,70.454445,17.946043,0
886,70.454445,14.188861,0
887,70.454445,15.23684,0
888,70.452133,9.85687,0
889,70.452133,15.027157,0
890,70.452133,15.571362,0
891,70.454445,16.918236,0
892,70.454445,12.759295,0
893,70.454445,12.248805,0
894,70.454445,15.941715,0
895,70.454445,18.174726,0
896,70.454445,16.922407,0
897,70.454445,19.489416,0
898,70.454445,21.131632,0
899,70.454445,16.736189,0
900,70.454445,16.912243,0
901,70.454445,15.163723,0
902,70.454445,20.410851,0
903,70.454445,11.055476,0
904,70.454445,15.063996,0
905,70.454445,14.279951,0
906,70.454445,13.94858,0
907,70.454445,15.859852,0
908,70.454445,12.620935,0
909,70.454445,15.097625,0
910,70.454445,14.108744,0
911,70.454445,14.632123,0
912,70.454445,12.131708,0
913,70.454445,13.577657,0
914,70.454445,14.832386,0
915,70.454445,15.877673,0
916,70.454445,18.51722,0
917,70.454445,17.773037,0
918,70.454445,14.841208,0
919,70.454445,16.235769,0
920,70.454445,13.469768,0
921,70.454445,17.993299,0
922,70.454445,15.138232,0
923,70.454445,14.608344,0
