Training Levels:,Resources/level/trainlevels/lvl-4,
Gen Num , Highest Fitness, Average Fitness, Population Size: 100
520 , 88.635689 , 25.725061 , 0
521 , 88.635689 , 27.666658 , 0
522 , 88.635689 , 28.569502 , 0
523 , 88.635689 , 30.595703 , 0
524 , 88.635689 , 35.512833 , 0
525 , 88.635689 , 26.427053 , 0
526 , 88.635689 , 31.476267 , 0
527 , 88.635689 , 23.310936 , 0
528 , 88.635689 , 25.999758 , 0
529 , 88.635689 , 28.760080 , 0
530 , 88.635689 , 29.633049 , 0
531 , 88.635689 , 29.022987 , 0
532 , 88.635689 , 26.762331 , 0
533 , 88.635689 , 27.605181 , 0
534 , 88.635689 , 28.697132 , 0
535 , 88.635689 , 30.156130 , 0
536 , 88.635689 , 28.257923 , 0
537 , 88.635689 , 26.711170 , 0
538 , 88.635689 , 29.801575 , 0
539 , 88.635689 , 30.323515 , 0
540 , 88.635689 , 25.567957 , 0
541 , 88.635689 , 23.186285 , 0
542 , 88.635689 , 31.621376 , 0
543 , 88.635689 , 28.433243 , 0
544 , 88.635689 , 27.725430 , 0
545 , 88.635689 , 29.005266 , 0
546 , 88.635689 , 22.613548 , 0
547 , 88.635689 , 34.776203 , 0
548 , 88.635689 , 30.829668 , 0
549 , 88.635689 , 29.011063 , 0
550 , 88.635689 , 25.038166 , 0
551 , 88.635689 , 26.474188 , 0
552 , 88.635689 , 27.717684 , 0
553 , 88.635689 , 25.674728 , 0
554 , 88.635689 , 33.663097 , 0
555 , 88.635689 , 31.160599 , 0
556 , 88.635689 , 26.558235 , 0
557 , 88.635689 , 26.270561 , 0
558 , 88.635689 , 25.780546 , 0
559 , 88.635689 , 25.752731 , 0
560 , 88.635689 , 24.673769 , 0
561 , 88.635689 , 21.843773 , 0
562 , 88.635689 , 20.007517 , 0
563 , 88.635689 , 27.306528 , 0
564 , 88.635689 , 27.021578 , 0
565 , 88.635689 , 28.116426 , 0
566 , 88.635689 , 26.281948 , 0
567 , 88.635689 , 36.990089 , 0
568 , 88.635689 , 26.379234 , 0
569 , 88.635689 , 28.481173 , 0
570 , 88.635689 , 29.039984 , 0
571 , 88.635689 , 23.419201 , 0
572 , 88.635689 , 28.943819 , 0
573 , 88.635689 , 27.325838 , 0
574 , 88.635689 , 24.487986 , 0
575 , 88.635689 , 25.178919 , 0
576 , 88.635689 , 29.702358 , 0
577 , 88.635689 , 25.690201 , 0
578 , 88.635689 , 26.000738 , 0
579 , 88.635689 , 26.303659 , 0
580 , 88.635689 , 29.742430 , 0
581 , 88.635689 , 26.579807 , 0
582 , 88.635689 , 23.646711 , 0
583 , 88.635689 , 32.010391 , 0
584 , 88.635689 , 29.176336 , 0
585 , 88.635689 , 28.261913 , 0
586 , 88.635689 , 27.467609 , 0
587 , 88.635689 , 26.864996 , 0
588 , 88.635689 , 29.318699 , 0
589 , 88.635689 , 24.378620 , 0
590 , 88.635689 , 30.880032 , 0
591 , 88.635689 , 23.142422 , 0
592 , 88.635689 , 23.726442 , 0
593 , 88.635689 , 29.306818 , 0
594 , 88.636070 , 30.297569 , 0
595 , 88.636070 , 27.045759 , 0
596 , 88.636070 , 25.057472 , 0
597 , 88.636070 , 29.580873 , 0
598 , 88.636070 , 22.233156 , 0
599 , 88.636070 , 27.334654 , 0
600 , 88.636078 , 25.098343 , 0
